ALL abundances NOT listed below differ from solar by  -0.04 dex
#  linelist/HATS-1_rv2.moog - SNR: 155                                          
Teff= 5959   log g= 4.59                              vt= 1.05 M/H=-0.04        

Abundance Results for Species Fe I         (input abundance =   7.430)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4787.830   26.00000   3.000  -2.540    32.80    -5.164     7.380   -0.049
  4788.760   26.00000   3.240  -1.799    56.40    -4.929     7.354   -0.074
  4789.650   26.00000   3.550  -1.178    82.30    -4.765     7.489    0.061
  4793.970   26.00000   3.050  -3.471     9.60    -5.698     7.651    0.222
  4794.360   26.00000   2.420  -3.903    12.70    -5.577     7.630    0.202
  4799.410   26.00000   3.640  -2.081    37.00    -5.113     7.598    0.169
  4802.520   26.00000   4.610  -1.724    20.40    -5.372     7.721    0.293
  4802.880   26.00000   3.690  -1.533    51.90    -4.966     7.392   -0.036
  4808.150   26.00000   3.250  -2.638    25.70    -5.272     7.540    0.112
  4809.940   26.00000   3.570  -2.551    17.20    -5.447     7.513    0.085
  4811.050   26.00000   3.070  -3.190    12.50    -5.585     7.518    0.089
  4885.430   26.00000   3.880  -1.143    62.00    -4.897     7.356   -0.072
  4905.140   26.00000   3.930  -1.826    26.30    -5.271     7.362   -0.066
  4924.770   26.00000   2.280  -2.067    86.70    -4.754     7.375   -0.053
  4946.390   26.00000   3.370  -1.058   102.50    -4.684     7.517    0.089
  4952.650   26.00000   4.210  -1.190    53.00    -4.971     7.505    0.077
  4961.920   26.00000   3.630  -2.310    22.80    -5.338     7.484    0.056
  4962.580   26.00000   4.180  -1.217    47.80    -5.016     7.418   -0.011
  4967.900   26.00000   4.190  -0.727    75.60    -4.818     7.415   -0.014
  4993.700   26.00000   4.210  -1.145    46.50    -5.031     7.346   -0.082
  4994.140   26.00000   0.920  -3.182    98.10    -4.707     7.485    0.056
  5044.220   26.00000   2.850  -2.044    67.10    -4.876     7.448    0.019
  5054.650   26.00000   3.640  -1.998    32.10    -5.197     7.396   -0.033
  5067.150   26.00000   4.220  -0.866    57.10    -4.948     7.260   -0.168
  5068.770   26.00000   2.940  -1.085   116.80    -4.637     7.379   -0.049
  5072.680   26.00000   4.220  -0.989    58.70    -4.937     7.410   -0.019
  5074.760   26.00000   4.220  -0.237    99.50    -4.708     7.281   -0.148
  5083.340   26.00000   0.960  -3.057    93.20    -4.737     7.279   -0.150
  5088.150   26.00000   4.150  -1.562    27.70    -5.264     7.323   -0.105
  5090.780   26.00000   4.260  -0.521    83.50    -4.785     7.375   -0.054
  5107.450   26.00000   0.990  -3.159    99.90    -4.709     7.538    0.110
  5107.650   26.00000   1.560  -2.609    87.50    -4.766     7.261   -0.168
  5109.650   26.00000   4.300  -0.743    67.70    -4.878     7.386   -0.043
  5127.360   26.00000   0.920  -3.325    94.40    -4.735     7.523    0.094
  5129.630   26.00000   3.940  -1.475    60.40    -4.929     7.692    0.263
  5141.740   26.00000   2.420  -2.133    79.00    -4.813     7.385   -0.044
  5143.730   26.00000   2.200  -3.819    17.80    -5.461     7.494    0.066
  5151.910   26.00000   1.010  -3.163    93.50    -4.741     7.424   -0.005
  5159.060   26.00000   4.280  -0.852    66.20    -4.892     7.449    0.021
  5180.060   26.00000   4.470  -1.111    39.00    -5.123     7.389   -0.040
  5187.910   26.00000   4.140  -1.209    47.20    -5.041     7.354   -0.074
  5194.950   26.00000   1.560  -2.344   116.70    -4.649     7.482    0.053
  5195.480   26.00000   4.220  -0.448    93.60    -4.744     7.410   -0.018
  5196.060   26.00000   4.260  -0.833    66.10    -4.895     7.412   -0.017
  5198.720   26.00000   2.220  -2.173    89.70    -4.763     7.442    0.014
  5217.400   26.00000   3.210  -1.091   102.00    -4.709     7.400   -0.029
  5223.190   26.00000   3.630  -2.260    23.50    -5.347     7.438    0.009
  5225.530   26.00000   0.110  -4.779    62.60    -4.922     7.452    0.023
  5228.380   26.00000   4.220  -1.101    52.80    -4.996     7.416   -0.013
  5229.860   26.00000   3.280  -0.945   109.60    -4.679     7.406   -0.022
  5242.500   26.00000   3.630  -1.130    78.80    -4.823     7.408   -0.020
  5243.780   26.00000   4.260  -1.028    49.50    -5.025     7.313   -0.115
  5247.060   26.00000   0.090  -4.945    55.90    -4.973     7.437    0.009
  5250.210   26.00000   0.120  -4.875    47.50    -5.043     7.220   -0.209
  5253.020   26.00000   2.280  -3.863    13.50    -5.590     7.459    0.030
  5253.470   26.00000   3.280  -1.597    62.90    -4.922     7.282   -0.146
  5263.310   26.00000   3.270  -0.874   114.60    -4.662     7.386   -0.042
  5288.530   26.00000   3.690  -1.618    50.60    -5.019     7.427   -0.002
  5293.960   26.00000   4.140  -1.755    24.10    -5.342     7.413   -0.015
  5294.550   26.00000   3.640  -2.634    12.30    -5.634     7.461    0.032
  5361.620   26.00000   4.420  -1.211    36.90    -5.162     7.400   -0.029
  5373.710   26.00000   4.470  -0.847    56.30    -4.980     7.427   -0.002
  5376.830   26.00000   4.290  -2.048    11.50    -5.670     7.436    0.008
  5379.580   26.00000   3.690  -1.558    52.20    -5.013     7.389   -0.039
  5386.340   26.00000   4.150  -1.718    23.80    -5.355     7.371   -0.057
  5389.480   26.00000   4.420  -0.539    82.90    -4.813     7.492    0.063
  5395.220   26.00000   4.450  -1.732    19.90    -5.433     7.557    0.128
  5398.280   26.00000   4.450  -0.689    67.20    -4.905     7.434    0.005
  5401.270   26.00000   4.320  -1.720    19.60    -5.440     7.418   -0.011
  5409.140   26.00000   4.370  -1.057    45.50    -5.075     7.361   -0.068
  5417.040   26.00000   4.420  -1.412    37.40    -5.161     7.605    0.176
  5432.950   26.00000   4.450  -0.734    65.10    -4.921     7.445    0.017
  5436.300   26.00000   4.390  -1.325    34.90    -5.192     7.444    0.016
  5436.590   26.00000   2.280  -3.275    36.90    -5.168     7.478    0.050
  5441.340   26.00000   4.310  -1.564    26.50    -5.312     7.428   -0.000
  5461.550   26.00000   4.450  -1.577    19.00    -5.459     7.370   -0.059
  5464.280   26.00000   4.140  -1.601    30.20    -5.258     7.396   -0.033
  5466.990   26.00000   3.650  -2.148    28.00    -5.291     7.443    0.014
  5473.170   26.00000   4.190  -1.994    10.80    -5.705     7.256   -0.172
  5481.250   26.00000   4.100  -1.209    52.80    -5.016     7.409   -0.019
  5491.830   26.00000   4.190  -2.202    10.00    -5.740     7.423   -0.006
  5522.450   26.00000   4.210  -1.425    38.80    -5.153     7.459    0.031
  5534.660   26.00000   4.150  -2.399     5.60    -5.995     7.306   -0.122
  5543.940   26.00000   4.220  -1.075    57.30    -4.986     7.457    0.028
  5546.510   26.00000   4.370  -1.130    45.80    -5.083     7.433    0.005
  5547.000   26.00000   4.220  -1.747    16.50    -5.527     7.250   -0.178
  5553.580   26.00000   4.430  -1.327    33.50    -5.220     7.450    0.021
  5560.220   26.00000   4.430  -1.070    46.50    -5.078     7.441    0.012
  5567.400   26.00000   2.610  -2.600    54.00    -5.013     7.461    0.032
