star teffs te tefferr loggs le loggerr vts vterr fehs fe feherr n1 n2 m1 em1 m2 em2 plx plxerr logL logLerr  planet
HD67 5746  24  64 4.56 0.02 0.10 1.02 0.03  0.03 0.02 0.05 257 35 0.8785 0.06638 0.975 0.025 19.54 0.88 -0.1855 0.0391 no
HD208 5914  20  63 4.47 0.03 0.10 1.05 0.03 -0.31 0.02 0.05 253 33 1.2238 0.07015 0.913 0.024 18.25 0.72  0.0984 0.0342 no
HD457 6089  23  64 4.43 0.03 0.10 1.17 0.02  0.34 0.02 0.05 254 36 1.8712 0.07261 1.209 0.022 16.63 0.69  0.3735 0.0360 no
HD564 5902  14  61 4.53 0.02 0.10 0.95 0.02 -0.20 0.01 0.05 255 35 1.2520 0.06513 0.961 0.038 18.64 0.88  0.0447 0.0410 no
HD1171 5293  27  65 4.47 0.04 0.11 0.48 0.09 -0.53 0.02 0.05 257 33 0.4596 0.11583 0.745 0.021 19.59 1.51 -0.5195 0.0669 no
HD1979 5626  16  62 4.52 0.02 0.10 0.74 0.03 -0.09 0.01 0.05 256 34 1.0613 0.07544 0.923 0.035 18.75 1.09 -0.1001 0.0504 no
HD2014 5054  59  84 4.37 0.11 0.15 0.64 0.15 -0.07 0.03 0.06 258 35 0.4887 0.18655 0.801 0.022 21.19 1.37 -0.4731 0.0561 no
HD2567 6038  20  63 4.44 0.03 0.10 1.19 0.02  0.22 0.01 0.05 256 35 1.6774 0.07468 1.173 0.024 17.63 0.79  0.3014 0.0389 no
HD2768 5548  22  63 4.40 0.03 0.10 0.81 0.03 -0.03 0.02 0.05 256 36 0.6725 0.08776 0.915 0.032 18.10 1.06 -0.2025 0.0508 no
HD3220 5846  15  61 4.51 0.02 0.10 0.87 0.02 -0.22 0.01 0.05 257 36 0.8598 0.06749 0.940 0.034 18.37 0.91 -0.1149 0.0430 no
HD3229 6583  45  75 4.14 0.05 0.11 1.80 0.07 -0.09 0.03 0.06 241 35 2.8508 0.07895 1.560 0.028 18.35 0.36  0.9818 0.0170 no
HD3808 5572  23  64 4.46 0.03 0.10 0.82 0.03 -0.17 0.02 0.05 255 34 0.9587 0.08780 0.893 0.033 18.19 1.06 -0.1010 0.0506 no
HD3964 5729  19  62 4.50 0.04 0.11 0.85 0.02  0.05 0.01 0.05 256 35 1.0745 0.08180 0.990 0.034 20.25 0.84 -0.0432 0.0360 no
HD4021 5831  46  75 4.71 0.05 0.11 1.32 0.07  0.02 0.03 0.06 253 35 1.4225 0.11223 1.005 0.030 17.20 0.96 -0.1007 0.0484 no
HD4457 5015  55  81 4.53 0.10 0.14 0.65 0.17 -0.37 0.03 0.06 259 32 0.6744 0.16294 0.737 0.018 20.43 1.03 -0.5067 0.0437 no
HD4597 6025  31  67 4.43 0.03 0.10 1.11 0.04 -0.39 0.02 0.05 252 36 1.1472 0.07199 0.917 0.025 20.51 0.78  0.1426 0.0330 no
HD4838 4704  40  72 4.63 0.14 0.17 0.76 0.13 -0.21 0.02 0.06 257 28 0.5483 0.18575 0.700 0.002 34.83 1.24 -0.8078 0.0309 no
HD5349 5092  73  94 3.88 0.13 0.16 1.00 0.13  0.43 0.06 0.08 253 36 0.7373 0.19334 0.998 0.013 20.43 0.90  0.2083 0.0382 no
HD5388 6311  33  68 4.24 0.03 0.10 1.65 0.05 -0.28 0.02 0.06 231 35 2.0329 0.06989 1.219 0.047 18.62 0.66  0.6617 0.0307 no
HD6718 5723  15  61 4.44 0.02 0.10 0.84 0.02 -0.07 0.01 0.05 256 34 1.0984 0.06077 0.947 0.035 18.23 0.76  0.0244 0.0362 yes
HD8038 5694  23  64 4.45 0.03 0.10 0.88 0.03  0.15 0.02 0.05 257 36 1.0818 0.07735 1.007 0.035 19.17 0.89 -0.0009 0.0403 no
HD8535 6158  13  61 4.42 0.02 0.10 1.25 0.01  0.04 0.01 0.05 254 35 1.3495 0.05105 1.148 0.028 19.03 0.60  0.2611 0.0273 yes
HD8930 5687  28  66 4.52 0.03 0.10 0.79 0.04 -0.23 0.02 0.05 259 36 0.9075 0.06856 0.898 0.035 20.85 0.72 -0.1493 0.0299 no
HD8985 6473  68  90 4.96 0.08 0.13 2.15 0.14 -0.01 0.04 0.07 252 35 3.7295 0.12935 1.196 0.021 18.77 0.67  0.2492 0.0310 no
HD9578 6055  14  61 4.52 0.03 0.10 1.07 0.01  0.11 0.01 0.05 256 35 1.3940 0.07635 1.122 0.026 17.44 0.85  0.1459 0.0423 no
HD9608 5954  25  65 4.43 0.03 0.10 0.98 0.03 -0.26 0.02 0.05 259 34 1.2843 0.07500 0.949 0.026 17.05 0.74  0.1711 0.0376 no
HD10895 5685  21  63 4.52 0.03 0.10 0.78 0.03 -0.27 0.01 0.05 259 35 0.9578 0.08275 0.885 0.033 19.31 1.03 -0.1265 0.0463 no
HD11397 5565  26  65 4.50 0.04 0.11 0.77 0.05 -0.55 0.02 0.05 255 33 0.8342 0.11021 0.801 0.025 19.03 1.36 -0.2036 0.0620 no
HD11608 4959 175 185 4.32 0.36 0.37 0.56 0.64  0.22 0.14 0.15 257 34 0.4238 0.46282 0.817 0.023 25.36 1.18 -0.5180 0.0404 no
HD11938 4703  93 110 4.25 0.23 0.25 0.76 0.35  0.01 0.07 0.09 258 33 0.3189 0.30326 0.745 0.019 25.00 1.11 -0.6635 0.0385 no
HD13252 5358  28  66 4.33 0.06 0.12 0.59 0.05 -0.25 0.02 0.05 256 34 0.5759 0.13488 0.827 0.027 17.56 1.33 -0.2604 0.0657 no
HD13578 5842  18  62 4.18 0.04 0.11 1.12 0.02 -0.03 0.01 0.05 257 35 1.1765 0.06479 1.042 0.021 19.22 0.43  0.3500 0.0194 no
HD14452 5313  27  65 4.50 0.05 0.11 0.85 0.05 -0.16 0.02 0.05 254 34 0.7866 0.09554 0.839 0.026 18.70 0.79 -0.3096 0.0366 no
HD14745 6290  39  71 4.72 0.04 0.11 1.46 0.06 -0.14 0.03 0.06 247 36 2.0813 0.07082 1.112 0.026 19.96 0.46  0.1861 0.0200 no
HD14868 5864  24  64 4.44 0.03 0.10 0.90 0.03  0.02 0.02 0.05 258 36 0.8819 0.06786 1.020 0.029 20.91 0.74 -0.0286 0.0307 no
HD15612 5256  34  68 4.49 0.06 0.12 0.87 0.06 -0.11 0.02 0.05 259 33 0.6637 0.12757 0.830 0.024 19.44 1.26 -0.3921 0.0562 no
