ALL abundances NOT listed below differ from solar by   0.00 dex
Linelist with cut at 2.99sigma, since 3.00 sigma doesn't work                   
Teff= 6423   log g= 4.83                              vt= 2.60 M/H= 0.00        

Abundance Results for Species Fe I         (input abundance =   7.470)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
 10070.521   26.00000   5.510  -1.527     6.20    -6.211     7.665    0.191
 10080.415   26.00000   5.100  -2.008     3.50    -6.459     7.536    0.062
 10081.394   26.00000   2.420  -4.551     2.60    -6.589     7.589    0.115
 10137.100   26.00000   5.090  -1.768     3.00    -6.529     7.216   -0.258
 10142.844   26.00000   5.060  -1.574     5.50    -6.266     7.266   -0.208
 10156.507   26.00000   4.590  -2.125     4.60    -6.344     7.328   -0.146
 10167.469   26.00000   2.200  -4.199     8.20    -6.093     7.548    0.074
 10195.106   26.00000   2.730  -3.625    10.70    -5.979     7.571    0.096
 10227.991   26.00000   6.120  -0.449    15.90    -5.808     7.526    0.052
 10230.796   26.00000   6.120  -0.414    15.70    -5.814     7.485    0.011
 10265.218   26.00000   2.220  -4.668     3.00    -6.534     7.577    0.103
 10327.340   26.00000   5.540   0.504   164.50    -4.798     7.683    0.209
 10332.328   26.00000   3.630  -3.145     1.80    -6.759     7.080   -0.394
 10347.966   26.00000   5.390  -0.754    19.50    -5.725     7.309   -0.166
 10353.805   26.00000   5.390  -1.035    12.10    -5.932     7.359   -0.115
 10364.063   26.00000   5.450  -1.129     9.00    -6.061     7.366   -0.108
 10379.000   26.00000   2.220  -4.246     6.20    -6.224     7.472   -0.002
 10388.746   26.00000   5.450  -1.527     4.10    -6.404     7.406   -0.068
 10423.029   26.00000   2.690  -3.660     8.40    -6.094     7.443   -0.031
 10535.710   26.00000   6.210  -0.218    11.30    -5.970     7.189   -0.285
 10546.434   26.00000   6.270  -0.836     3.60    -6.467     7.343   -0.131
 10555.650   26.00000   5.450  -1.352     7.10    -6.172     7.467   -0.007
 10577.139   26.00000   3.300  -3.238     6.00    -6.246     7.400   -0.074
 10611.687   26.00000   6.170  -0.070    22.90    -5.666     7.337   -0.137
 10616.721   26.00000   3.270  -3.320     6.50    -6.213     7.489    0.015
 10674.071   26.00000   6.170  -0.578     9.50    -6.051     7.427   -0.047
 10725.186   26.00000   3.640  -2.945     6.80    -6.198     7.454   -0.020
 10780.694   26.00000   3.240  -3.613     3.90    -6.442     7.515    0.041
 10818.276   26.00000   3.960  -2.184    20.30    -5.727     7.485    0.011
 10913.040   26.00000   5.540  -1.633     3.30    -6.519     7.457   -0.017
 11402.730   26.00000   6.260  -0.014    23.60    -5.684     7.309   -0.165
 11743.695   26.00000   5.950  -1.223     5.10    -6.362     7.526    0.052
 11778.420   26.00000   5.340  -1.691     6.30    -6.272     7.567    0.093
 11890.500   26.00000   5.540  -0.379    48.40    -5.390     7.423   -0.052
 12053.083   26.00000   4.560  -1.645    33.50    -5.556     7.631    0.157
 12119.496   26.00000   4.590  -1.809    35.50    -5.533     7.847    0.372
 12213.336   26.00000   4.640  -2.020    16.50    -5.869     7.705    0.230
 12244.923   26.00000   3.640  -3.221    12.50    -5.991     7.898    0.424
 12283.280   26.00000   6.170  -0.613    12.00    -6.010     7.445   -0.030
 12340.483   26.00000   2.280  -4.750     2.00    -6.790     7.391   -0.083
 12342.916   26.00000   4.640  -1.574    19.40    -5.804     7.326   -0.148
 12556.998   26.00000   2.280  -4.023    14.60    -5.935     7.542    0.068
 12648.742   26.00000   4.610  -1.574    18.10    -5.844     7.241   -0.233
 12808.243   26.00000   4.990  -1.809     9.80    -6.116     7.503    0.029
 12824.860   26.00000   3.020  -3.619     6.60    -6.289     7.412   -0.062
 12840.574   26.00000   4.960  -1.633    10.90    -6.071     7.347   -0.127
 12896.118   26.00000   4.910  -1.785    12.40    -6.017     7.511    0.037
 12933.006   26.00000   5.020  -1.926     6.60    -6.292     7.456   -0.019
 12934.666   26.00000   5.390  -1.141    20.80    -5.794     7.521    0.047
 13014.841   26.00000   5.450  -1.586    10.40    -6.097     7.683    0.209
 13352.173   26.00000   5.310  -0.479    74.80    -5.252     7.460   -0.014
 14808.319   26.00000   5.380  -0.883    25.30    -5.767     7.169   -0.305
 14979.698   26.00000   6.170  -0.660    27.40    -5.738     7.625    0.151
 15017.702   26.00000   6.220  -0.178    41.30    -5.561     7.382   -0.092
 15051.749   26.00000   5.350  -0.003   147.40    -5.009     7.321   -0.154
 15094.697   26.00000   6.360   0.150    76.10    -5.297     7.480    0.005
 15095.860   26.00000   6.220  -0.148    56.80    -5.425     7.511    0.037
 15122.380   26.00000   5.620  -0.379    63.10    -5.380     7.318   -0.156
 15176.715   26.00000   5.920  -0.877    15.60    -5.988     7.355   -0.119
 15207.526   26.00000   5.380   0.036   137.10    -5.045     7.226   -0.248
 15213.022   26.00000   6.310  -0.941     8.10    -6.274     7.442   -0.032
 15219.618   26.00000   5.590  -0.058   105.70    -5.158     7.288   -0.186
 15224.731   26.00000   5.960  -0.578    37.60    -5.607     7.508    0.034
 15237.773   26.00000   5.790  -1.598     6.70    -6.357     7.580    0.106
 15239.740   26.00000   6.420  -0.025    26.00    -5.768     7.146   -0.328
 15244.974   26.00000   5.590  -0.170    98.00    -5.192     7.346   -0.128
 15335.383   26.00000   5.410  -0.003   136.70    -5.050     7.273   -0.201
 15375.340   26.00000   5.920  -1.123    16.00    -5.983     7.598    0.124
 15395.718   26.00000   5.620  -0.414    74.30    -5.316     7.425   -0.049
 15427.621   26.00000   6.450  -1.176     3.40    -6.657     7.393   -0.081
 15451.301   26.00000   6.450  -0.625    16.50    -5.971     7.545    0.070
 15451.943   26.00000   6.290  -1.205    12.00    -6.110     7.849    0.375
 15476.503   26.00000   6.320  -1.311     6.10    -6.404     7.675    0.201
 15485.456   26.00000   6.280  -0.906    12.40    -6.097     7.554    0.080
 15490.339   26.00000   2.200  -4.855     4.70    -6.518     7.559    0.085
 15490.884   26.00000   6.290  -0.637    17.10    -5.957     7.440   -0.034
 15496.700   26.00000   6.290  -0.402    31.90    -5.686     7.498    0.024
