ALL abundances NOT listed below differ from solar by   0.17 dex
# Wavelength	Ele	  excit	  log gf			 EW                                         
          Teff= 6556          log g= 4.00             vt= 2.57 M/H= 0.17        

Abundance Results for Species Fe I         (input abundance =   7.64)
wavelength        EP     logGF        EW     logRW     abund     del avg
  10070.52      5.51    -1.527       8.9     -6.05      7.90        0.21
  10142.84      5.06    -1.574       8.1     -6.10      7.52       -0.17
  10155.16      2.18    -4.340      80.8     -5.10      9.07        1.39
  10156.51      4.59    -2.125       4.8     -6.33      7.43       -0.25
  10167.47      2.20    -4.199       8.9     -6.06      7.72        0.04
  10195.11      2.73    -3.625      12.4     -5.91      7.76        0.08
  10227.99      6.12    -0.449      22.9     -5.65      7.77        0.09
  10230.80      6.12    -0.414      23.1     -5.65      7.74        0.06
  10327.34      5.54     0.504     172.6     -4.78      8.04        0.36
  10347.97      5.39    -0.754      20.5     -5.70      7.41       -0.28
  10353.81      5.39    -1.035      12.5     -5.92      7.45       -0.24
  10379.00      2.22    -4.246       6.8     -6.18      7.65       -0.03
  10388.75      5.45    -1.527       5.9     -6.25      7.64       -0.05
  10423.03      2.69    -3.660       9.0     -6.06      7.60       -0.08
  10535.71      6.21    -0.218      14.5     -5.86      7.37       -0.32
  10546.43      6.27    -0.836       4.1     -6.41      7.46       -0.23
  10577.14      3.30    -3.238       6.8     -6.19      7.57       -0.11
  10611.69      6.17    -0.070      24.0     -5.65      7.43       -0.25
  10616.72      3.27    -3.320       7.2     -6.17      7.65       -0.03
  10674.07      6.17    -0.578      11.6     -5.96      7.58       -0.10
  10687.80      5.51    -1.094       2.7     -6.60      6.89       -0.80
  10725.19      3.64    -2.945       7.5     -6.16      7.61       -0.08
  10780.69      3.24    -3.613       5.2     -6.32      7.76        0.07
  10818.28      3.96    -2.184      23.4     -5.66      7.66       -0.03
  10913.04      5.54    -1.633       3.8     -6.46      7.59       -0.10
  11402.73      6.26    -0.014      24.1     -5.67      7.40       -0.28
  11743.69      5.95    -1.223       6.0     -6.29      7.68       -0.01
  11778.42      5.34    -1.691       7.6     -6.19      7.74        0.05
  11890.50      5.54    -0.379      48.8     -5.39      7.53       -0.15
  12053.08      4.56    -1.645      37.8     -5.50      7.81        0.12
  12119.50      4.59    -1.809      41.3     -5.47      8.04        0.36
  12213.34      4.64    -2.020      19.6     -5.79      7.89        0.21
  12244.92      3.64    -3.221      12.8     -5.98      8.03        0.35
