ALL abundances NOT listed below differ from solar by   0.17 dex
# Wavelength	Ele	  excit	  log gf			 EW                                         
          Teff= 6556          log g= 4.00             vt= 2.57 M/H= 0.17        

Abundance Results for Species Fe I         (input abundance =   7.64)
wavelength        EP     logGF        EW     logRW     abund     del avg
  10070.52      5.51    -1.527       4.9     -6.31      7.62        0.05
  10142.84      5.06    -1.574       3.9     -6.42      7.18       -0.39
  10155.16      2.18    -4.340      64.8     -5.20      8.90        1.33
  10156.51      4.59    -2.125       4.4     -6.36      7.39       -0.18
  10167.47      2.20    -4.199       7.6     -6.13      7.65        0.08
  10195.11      2.73    -3.625       9.4     -6.04      7.63        0.06
  10227.99      6.12    -0.449      10.8     -5.98      7.41       -0.16
  10230.80      6.12    -0.414      11.7     -5.94      7.41       -0.16
  10327.34      5.54     0.504     154.9     -4.82      7.89        0.31
  10347.97      5.39    -0.754      18.4     -5.75      7.35       -0.22
  10353.81      5.39    -1.035      11.8     -5.94      7.42       -0.15
  10379.00      2.22    -4.246       4.7     -6.34      7.48       -0.09
  10388.75      5.45    -1.527       3.0     -6.54      7.33       -0.24
  10423.03      2.69    -3.660       7.5     -6.14      7.52       -0.05
  10535.71      6.21    -0.218       7.5     -6.15      7.06       -0.51
  10546.43      6.27    -0.836       2.9     -6.56      7.30       -0.27
  10577.14      3.30    -3.238       5.3     -6.30      7.46       -0.11
  10611.69      6.17    -0.070      21.4     -5.70      7.38       -0.19
  10616.72      3.27    -3.320       5.8     -6.26      7.55       -0.02
  10674.07      6.17    -0.578       7.8     -6.14      7.40       -0.17
  10687.80      5.51    -1.094       1.3     -6.91      6.57       -1.00
  10725.19      3.64    -2.945       6.2     -6.24      7.52       -0.05
  10780.69      3.24    -3.613       3.0     -6.56      7.52       -0.05
  10818.28      3.96    -2.184      18.7     -5.76      7.55       -0.02
  10913.04      5.54    -1.633       2.4     -6.66      7.39       -0.18
  11402.73      6.26    -0.014      23.2     -5.69      7.38       -0.19
  11743.69      5.95    -1.223       4.2     -6.45      7.51       -0.06
  11778.42      5.34    -1.691       5.0     -6.37      7.55       -0.02
  11890.50      5.54    -0.379      48.1     -5.39      7.53       -0.05
  12053.08      4.56    -1.645      27.3     -5.64      7.63        0.06
  12119.50      4.59    -1.809      32.9     -5.57      7.92        0.34
  12213.34      4.64    -2.020      14.5     -5.93      7.75        0.18
  12244.92      3.64    -3.221      12.3     -6.00      8.01        0.44
  12283.28      6.17    -0.613      11.9     -6.01      7.53       -0.04
  12342.92      4.64    -1.574      16.5     -5.87      7.36       -0.21
  12557.00      2.28    -4.023      14.3     -5.94      7.69        0.12
  12808.24      4.99    -1.809       9.1     -6.15      7.58        0.01
  12824.86      3.02    -3.619       4.0     -6.51      7.33       -0.24
  12840.57      4.96    -1.633      10.6     -6.08      7.44       -0.13
  12896.12      4.91    -1.785      11.6     -6.05      7.59        0.02
  12933.01      5.02    -1.926       6.0     -6.33      7.52       -0.05
  12934.67      5.39    -1.141      18.3     -5.85      7.57       -0.00
  13014.84      5.45    -1.586       8.8     -6.17      7.71        0.14
  13352.17      5.31    -0.479      69.2     -5.29      7.55       -0.02
  14808.32      5.38    -0.883      20.3     -5.86      7.19       -0.38
  14979.70      6.17    -0.660      22.7     -5.82      7.66        0.09
  15017.70      6.22    -0.178      31.7     -5.68      7.38       -0.19
  15051.75      5.35    -0.003     137.4     -5.04      7.49       -0.08
  15094.70      6.36     0.150      75.2     -5.30      7.65        0.08
  15095.86      6.22    -0.148      54.9     -5.44      7.65        0.08
  15122.38      5.62    -0.379      51.1     -5.47      7.35       -0.23
  15176.72      5.92    -0.877      12.0     -6.10      7.36       -0.21
  15207.53      5.38     0.036     129.6     -5.07      7.40       -0.17
  15213.02      6.31    -0.941       6.8     -6.35      7.48       -0.09
  15216.89      5.51    -1.820      45.1     -5.53      8.62        1.05
  15219.62      5.59    -0.058      99.2     -5.19      7.43       -0.14
  15224.73      5.96    -0.578      30.8     -5.69      7.54       -0.03
  15237.77      5.79    -1.598       6.2     -6.39      7.67        0.10
  15239.74      6.42    -0.025      24.1     -5.80      7.24       -0.33
  15244.97      5.59    -0.170      92.7     -5.22      7.49       -0.08
  15335.38      5.41    -0.003     135.2     -5.05      7.49       -0.08
  15375.34      5.92    -1.123      13.4     -6.06      7.64        0.07
  15395.72      5.62    -0.414      72.6     -5.33      7.58        0.01
  15427.62      6.45    -1.176       3.1     -6.70      7.47       -0.10
  15451.30      6.45    -0.625      14.2     -6.04      7.60        0.03
  15451.94      6.29    -1.205      10.7     -6.16      7.92        0.35
  15476.50      6.32    -1.311       3.0     -6.71      7.48       -0.09
  15485.46      6.28    -0.906      10.8     -6.16      7.62        0.05
  15490.34      2.20    -4.855       4.0     -6.59      7.67        0.10
  15490.88      6.29    -0.637      16.6     -5.97      7.55       -0.02
  15496.70      6.29    -0.402      31.2     -5.70      7.63        0.06
