star,teff,tefferr,logg,loggerr,feh,feherr,vt,vterr
BD-114672,4475,100,4.10,0.36,-0.48,0.05,0.67,0.16
BD +49 828,4943,30,2.85,0.09,-0.19,0.06,nan
GJ 785,5144,50,4.60,0.06,0.08,0.03,nan
HATS-1,5780,100,4.40,0.08,-0.06,0.12,nan
HATS-5,5304,50,4.53,0.02,0.19,0.08,nan
HAT-P-12,4650,60,4.61,0.02,-0.29,0.05,nan
HAT-P-24,6373,80,4.29,0.04,-0.16,0.08,nan
HAT-P-39,6340,100,4.16,0.03,0.19,0.10,nan
HAT-P-46,6120,100,4.25,0.11,0.30,0.10,0.85,nan
HAT-P-42,5743,50,4.14,0.07,0.27,0.08,nan
HD 120084,4892,22,2.71,0.08,0.09,0.05,1.31,0.10
HD 192263,4906,57,4.36,0.17,-0.07,0.02,0.78,0.12
HD 219134,4699,16,4.63,0.10,0.11,0.04,0.35,0.19
HD 220074,3935,110,1.30,0.50,-0.25,0.25,1.60,0.30
HD 220842,5920,20,4.24,0.02,-0.17,0.02,nan
HD 233604,4791,45,2.55,0.18,-0.36,0.04,nan
HD 283668,4845,66,4.35,0.12,-0.75,0.12,0.02,0.30
HD 285507,4503,73,4.67,0.06,0.13,0.01,nan
HD 5583,4830,45,2.53,0.14,-0.50,0.18,nan
HD 81688,4753,15,2.22,0.05,-0.36,0.02,1.43,0.05
HD 82886,5112,44,3.40,0.06,-0.31,0.03,nan
HD 87883,4958,44,4.56,0.06,0.07,0.03,nan
HIP 107773,4945,100,2.60,0.20,0.03,0.10,nan
HIP 11915,5760,4,4.46,0.01,-0.06,0.00,nan
HIP 116454,5089,50,4.59,0.03,-0.16,0.08,nan
HR 228,4959,25,3.16,0.08,0.01,0.04,1.12,0.07
KELT-6,6102,43,4.07,0.06,-0.28,0.04,nan
Kepler-37,5417,70,4.57,0.01,-0.32,0.07,nan
Kepler-444,5046,74,4.60,0.06,-0.55,0.07,nan
mu Leo,4538,27,2.40,0.10,0.36,0.05,1.40,0.10
ome Ser,4770,10,2.32,0.04,-0.24,0.02,1.34,0.04
omi UMa,5242,10,2.64,0.03,-0.09,0.02,1.51,0.07
Qatar-2,4645,50,4.60,0.02,-0.02,0.08,nan
SAND364,4284,9,2.20,0.06,-0.02,0.04,nan
TYC+1422-614-1,4806,45,2.85,0.18,-0.20,0.08,nan
WASP-37,5940,55,4.39,0.02,-0.40,0.12,nan
WASP-44,5400,150,4.48,0.07,0.06,0.10,nan
WASP-52,5000,100,4.58,0.01,0.03,0.12,nan
WASP-58,5800,150,4.27,0.09,-0.45,0.09,nan
WASP-61,6250,150,4.26,0.01,-0.10,0.12,nan
WASP-72,6250,100,4.08,0.13,-0.06,0.09,1.60,0.10
WASP-73,6030,120,3.92,0.08,0.14,0.14,1.10,0.20
WASP-75,6100,100,4.50,0.10,0.07,0.09,1.30,0.10
WASP-76,6250,100,4.13,0.02,0.23,0.10,1.40,0.10
WASP-82,6490,100,3.97,0.02,0.12,0.11,1.50,0.10
WASP-88,6430,130,4.03,0.09,-0.08,0.12,1.40,0.10
WASP-94 A,6170,80,4.27,0.07,0.26,0.15,nan
WASP-94 B,6040,90,4.26,0.06,0.23,0.14,nan
WASP-95,5630,130,4.38,0.03,0.14,0.16,nan
WASP-97,5640,100,4.43,0.03,0.23,0.11,nan
WASP-99,6180,100,4.12,0.03,0.21,0.15,nan
WASP-100,6900,120,4.04,0.11,-0.03,0.10,nan
